Labels,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec,,,,
1.67641E+12,909,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-5,text,TRUE,,168,375,25,25,http://127.0.0.1:8888/public-index,909,0,0
1.67641E+12,906,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-3,text,TRUE,,168,375,25,25,http://127.0.0.1:8888/public-index,906,0,0
1.67641E+12,645,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-20,text,TRUE,,158,382,25,25,http://127.0.0.1:8888/load-public-indexes,645,0,0
1.67641E+12,340,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-19,text,TRUE,,158,382,25,25,http://127.0.0.1:8888/load-public-indexes,340,0,0
1.67641E+12,108,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-21,text,TRUE,,158,382,25,25,http://127.0.0.1:8888/load-public-indexes,108,0,0
1.67641E+12,646,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-12,text,TRUE,,398,448,25,25,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,646,0,0
1.67641E+12,651,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-11,text,TRUE,,398,448,25,25,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,651,0,0
1.67641E+12,650,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-8,text,TRUE,,398,448,25,25,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,650,0,0
1.67641E+12,648,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-7,text,TRUE,,398,448,25,25,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,648,0,0
1.67641E+12,635,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-9,text,TRUE,,398,448,25,25,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,635,0,0
1.67641E+12,140,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-10,text,TRUE,,398,448,25,25,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,140,0,0
1.67641E+12,659,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-6,text,TRUE,,168,375,25,25,http://127.0.0.1:8888/public-index,659,0,0
1.67641E+12,133,http://127.0.0.1:8888/settings,200,OK,Thread Group 1-2,text,TRUE,,1487,371,25,25,http://127.0.0.1:8888/settings,133,0,0
1.67641E+12,1321,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-22,text,TRUE,,1353,1000,26,26,http://127.0.0.1:8888/settings,1321,0,2
1.67641E+12,393,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-4,text,TRUE,,168,375,26,26,http://127.0.0.1:8888/public-index,393,0,0
1.67641E+12,408,http://127.0.0.1:8888/settings,200,OK,Thread Group 1-1,text,TRUE,,1487,371,26,26,http://127.0.0.1:8888/settings,408,0,0
1.67641E+12,398,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-13,text,TRUE,,149,448,26,26,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,398,0,0
1.67641E+12,335,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-5,text,TRUE,,318,380,26,26,http://127.0.0.1:8888/default-interests,335,0,0
1.67641E+12,334,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-3,text,TRUE,,318,380,26,26,http://127.0.0.1:8888/default-interests,334,0,0
1.67641E+12,291,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-6,text,TRUE,,318,380,26,26,http://127.0.0.1:8888/default-interests,291,0,0
1.67641E+12,1279,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-23,text,TRUE,,1353,1000,27,27,http://127.0.0.1:8888/settings,1279,0,1
1.67641E+12,1192,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-24,text,TRUE,,1353,1000,27,27,http://127.0.0.1:8888/settings,1192,0,5
1.67641E+12,1123,http://127.0.0.1:8888/settings,201,Created,Thread Group 1-25,text,TRUE,,1353,1000,28,28,http://127.0.0.1:8888/settings,1123,0,2
1.67641E+12,1027,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-17,text,TRUE,,149,448,28,28,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1027,0,0
1.67641E+12,1045,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-16,text,TRUE,,149,448,28,28,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1045,0,0
1.67641E+12,1036,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-15,text,TRUE,,149,448,28,28,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1036,0,0
1.67641E+12,1066,http://127.0.0.1:8888/orbitdb-requested-files?page=1&limit=25&sort=created_at&search=&start_date=&end_date=,200,OK,Thread Group 1-14,text,TRUE,,149,448,28,28,http://127.0.0.1:8888/orbitdb-requested-files?end_date=&search=&limit=25&page=1&sort=created_at&start_date=,1066,0,0
1.67641E+12,714,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-4,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,714,0,0
1.67641E+12,1056,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-18,text,TRUE,,731,403,28,28,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1056,0,0
1.67641E+12,1053,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-20,text,TRUE,,731,403,28,28,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1053,0,0
1.67641E+12,1057,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-19,text,TRUE,,731,403,28,28,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1057,0,0
1.67641E+12,1058,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-12,text,TRUE,,168,375,28,28,http://127.0.0.1:8888/public-index,1058,0,0
1.67641E+12,1052,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-11,text,TRUE,,168,375,28,28,http://127.0.0.1:8888/public-index,1052,0,0
1.67641E+12,1052,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-8,text,TRUE,,168,375,28,28,http://127.0.0.1:8888/public-index,1052,0,0
1.67641E+12,1050,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-7,text,TRUE,,168,375,28,28,http://127.0.0.1:8888/public-index,1050,0,0
1.67641E+12,1048,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-9,text,TRUE,,168,375,28,28,http://127.0.0.1:8888/public-index,1048,0,0
1.67641E+12,1046,http://127.0.0.1:8888/public-index,200,OK,Thread Group 1-10,text,TRUE,,168,375,28,28,http://127.0.0.1:8888/public-index,1046,0,0
1.67641E+12,1094,http://127.0.0.1:8888/folders?page=1&limit=54&status=1&search=,200,OK,Thread Group 1-21,text,TRUE,,731,403,28,28,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=1,1094,0,0
1.67641E+12,1051,http://127.0.0.1:8888/folders?page=1&limit=54&status=0&search=,200,OK,Thread Group 1-2,text,TRUE,,733,403,28,28,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=0,1051,0,0
1.67641E+12,787,http://127.0.0.1:8888/settings,200,OK,Thread Group 1-3,text,TRUE,,1487,371,28,28,http://127.0.0.1:8888/settings,787,0,0
1.67641E+12,808,http://127.0.0.1:8888/folders?page=1&limit=54&status=0&search=,200,OK,Thread Group 1-1,text,TRUE,,733,403,28,28,http://127.0.0.1:8888/folders?search=&limit=54&page=1&status=0,808,0,0
1.67641E+12,807,http://127.0.0.1:8888/settings,200,OK,Thread Group 1-5,text,TRUE,,1487,371,28,28,http://127.0.0.1:8888/settings,806,0,0
1.67641E+12,815,http://127.0.0.1:8888/bookmarks?page=1&limit=25&sort=created_at&extension=all&search=&start_date=&end_date=,200,OK,Thread Group 1-13,text,TRUE,,398,448,28,28,http://127.0.0.1:8888/bookmarks?end_date=&extension=all&search=&limit=25&page=1&sort=created_at&start_date=,815,0,0
1.67641E+12,833,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-22,text,TRUE,,158,382,28,28,http://127.0.0.1:8888/load-public-indexes,833,0,0
1.67641E+12,810,http://127.0.0.1:8888/settings,200,OK,Thread Group 1-6,text,TRUE,,1487,371,28,28,http://127.0.0.1:8888/settings,810,0,0
1.67641E+12,90,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-12,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,90,0,0
1.67641E+12,87,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-11,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,87,0,0
1.67641E+12,85,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-8,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,85,0,0
1.67641E+12,82,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-7,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,82,0,0
1.67641E+12,80,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-9,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,80,0,0
1.67641E+12,77,http://127.0.0.1:8888/default-interests,200,OK,Thread Group 1-10,text,TRUE,,318,380,28,28,http://127.0.0.1:8888/default-interests,76,0,0
1.67641E+12,630,http://127.0.0.1:8888/load-public-indexes,200,OK,Thread Group 1-23,text,TRUE,,158,382,28,28,http://127.0.0.1:8888/load-public-indexes,630,0,0
